Date,Store_BHX,Store_TGDD,Store_DMX,Revstore_BHX,Monthly_Revenue,Monthly_NPAT,ICTCE_Revenue,BHX_Revenue,ICT_Revenue,CE_Revenue
2015-01-31,,361,22,,"1,774",69,"1,774",,,
2015-02-28,,372,22,,"2,062",96,"2,062",,,
2015-03-31,,381,22,,"1,660",68,"1,660",,,
2015-04-30,,406,24,,"1,710",71,"1,710",,,
2015-05-31,,421,24,,"1,794",73,"1,794",,,
2015-06-30,,430,31,,"1,860",79,"1,860",,,
2015-07-31,,446,33,,"2,060",92,"2,060",,,
2015-08-31,,465,36,,"2,237",96,"2,238",,,
2015-09-30,,482,39,,"2,349",100,"2,349",,,
2015-10-31,,508,52,,"2,385",102,"2,384",,,
2015-11-30,,534,56,,"2,600",112,"2,600",,,
2015-12-31,,564,70,,"2,760",118,"2,760",,,
2016-01-31,,594,85,,"3,527",153,"3,527",,,
2016-02-29,,597,88,,"3,315",143,"3,315",,,
2016-03-31,,646,92,,"2,775",122,"2,775",,,
2016-04-30,,718,95,,"3,177",137,"3,178",,,
2016-05-31,,779,100,,"3,446",145,"3,445",,,
2016-06-30,,827,112,,"3,410",135,"3,410",,,
2016-07-31,,878,123,,"3,628",146,"3,628",,,
2016-08-31,,880,138,,"3,750",139,"3,750",,,
2016-09-30,,902,151,,"3,748",102,"3,748",,,
2016-10-31,,929,174,,"4,253",108,"4,253",,,
2016-11-30,,938,212,,"4,637",115,"4,637",,,
2016-12-31,45,951,257,,"4,947",132,"4,947",,,
2017-01-31,48,969,299,0.97,"6,852",268,"6,807",45,,
2017-02-28,54,970,304,0.75,"4,268",146,"4,230",38,,
2017-03-31,67,"1,000",315,0.96,"4,466",144,"4,408",58,,
2017-04-30,86,"1,001",359,0.93,"5,143",165,"5,072",71,,
2017-05-31,96,"1,009",374,0.96,"5,205",173,"5,118",87,,
2017-06-30,110,"1,013",405,1.00,"5,309",174,"5,205",103,,
2017-07-31,138,"1,034",438,1.02,"5,518",191,"5,392",127,,
2017-08-31,153,"1,041",476,1.02,"5,522",191,"5,375",148,,
2017-09-30,190,"1,058",532,0.93,"5,338",183,"5,177",160,,
2017-10-31,221,"1,067",567,0.84,"5,671",176,"5,499",173,,
2017-11-30,248,"1,068",608,0.78,"5,672",180,"5,488",184,,
2017-12-31,283,"1,072",643,0.73,"7,376",216,"7,182",193,,
2018-01-31,316,"1,071",703,0.67,"7,861",300,"7,657",200,"3,182","4,475"
2018-02-28,324,"1,071",708,0.57,"8,651",306,"8,465",181,"3,468","4,997"
2018-03-31,355,"1,071",712,0.66,"6,253",202,"6,023",225,"2,904","3,119"
2018-04-30,367,"1,065",719,0.75,"6,935",236,"6,659",271,"2,883","3,776"
2018-05-31,372,"1,061",720,0.88,"7,381",245,"7,050",324,"2,836","4,214"
2018-06-30,384,"1,058",724,0.93,"7,490",250,"7,134",351,"2,766","4,368"
2018-07-31,393,"1,045",727,1.03,"7,116",217,"6,710",400,"2,800","3,910"
2018-08-31,405,"1,040",731,1.05,"6,981",213,"6,555",420,"2,989","3,566"
2018-09-30,409,"1,038",737,1.05,"6,811",218,"6,373",428,"2,781","3,592"
2018-10-31,412,"1,038",740,1.14,"6,797",226,"6,325",467,"2,777","3,548"
2018-11-30,404,"1,037",746,1.19,"6,758",231,"6,267",485,"2,697","3,570"
2018-12-31,405,"1,032",750,1.29,"7,483",236,"6,952",520,"2,727","4,225"
2019-01-31,421,"1,029",764,1.52,"10,360",452,"9,722",628,"3,215","6,507"
2019-02-28,423,"1,027",766,0.92,"7,036",277,"6,639",387,"2,685","3,954"
2019-03-31,469,"1,023",774,1.37,"7,621",312,"7,030",611,"2,931","4,099"
2019-04-30,512,"1,021",791,1.42,"9,105",383,"8,411",694,"2,770","5,640"
2019-05-31,545,"1,017",809,1.52,"8,662",368,"7,859",803,"2,817","5,042"
2019-06-30,600,"1,011",838,1.58,"8,849",329,"7,945",904,"2,879","5,066"
2019-07-31,659,"1,006",865,1.60,"9,296",290,"8,288","1,008","2,892","5,396"
